,Unnamed: 0,출발지 행정동,출발지 구주소
92,351,신천4동,대구 동구 신천4동
93,352,용산2동,대구 달서구 용산2동
94,364,대명2동,대구 남구 대명2동
95,366,만촌2동,대구 수성구 만촌2동
96,389,평리6동,대구 서구 평리6동
97,393,동인동,대구 중구 동인동
98,398,검단동,인천 서구 검단동
99,404,해안동,인천 중구 해안동1가
100,412,신천1.2동,서울 송파구 신천동
101,414,하빈면,대구 달성군 하빈면
102,416,도평동,대구 동구 도평동
103,444,만촌3동,대구 수성구 만촌3동
104,445,비산7동,대구 서구 비산7동
105,470,대명1동,대구 남구 대명1동
106,471,옥포읍,대구 달성군 옥포읍
107,500,대명11동,대구 남구 대명11동
108,510,산격4동,대구 북구 산격4동
109,519,혁신동,전북 전주시 덕진구 혁신동
110,532,논공읍,대구 달성군 논공읍
111,534,죽전동,경기 용인시 수지구 죽전동
112,538,황금2동,대구 수성구 황금2동
113,549,남산1동,대구 중구 남산1동
114,551,평리2동,대구 서구 평리2동
115,559,상동,경기 부천시 원미구 상동
116,591,비산2.3동,경기 안양시 동안구 비산동
117,613,수성2.3가동,대구 수성구 수성2.3가동
118,627,범물2동,대구 수성구 범물2동
119,631,봉덕1동,대구 남구 봉덕1동
120,632,비산5동,대구 서구 비산5동
121,643,비산4동,대구 서구 비산4동
122,645,신암5동,대구 동구 신암5동
123,648,읍내동,충남 당진시 읍내동
124,668,범어4동,대구 수성구 범어4동
