Unnamed: 0,출발지 행정동,출발지 구주소
308,고산1동,대구 수성구 고산1동
314,방촌동,대구 동구 방촌동
320,신천1.2동,서울 송파구 신천동
331,상동,경기 부천시 원미구 상동
335,두산동,강원특별자치도 강릉시 두산동
346,범어2동,대구 수성구 범어2동
366,도평동,대구 동구 도평동
379,고산2동,대구 수성구 고산2동
416,이천동,경북 안동시 이천동
446,이곡1동,대구 달서구 이곡1동
458,중동,서울 마포구 중동
494,신암3동,대구 동구 신암3동
496,안심4동,대구 동구 안심4동
499,두류3동,대구 달서구 두류3동
508,혁신동,전북 전주시 덕진구 혁신동
558,죽전동,경기 용인시 수지구 죽전동
564,범어3동,대구 수성구 범어3동
567,대명10동,대구 남구 대명10동
646,구암동,대전 유성구 구암동
671,대봉1동,대구 중구 대봉1동
673,침산1동,대구 북구 침산1동
680,관음동,대구 북구 관음동
698,황금2동,대구 수성구 황금2동
737,신암5동,대구 동구 신암5동
740,복현1동,대구 북구 복현1동
767,태전1동,대구 북구 태전1동
768,비산5동,대구 서구 비산5동
772,범어4동,대구 수성구 범어4동
783,고산3동,대구 수성구 고산3동
828,대명5동,대구 남구 대명5동
933,가창면,대구 달성군 가창면
1001,대봉2동,대구 중구 대봉2동
1004,내당2.3동,대구 서구 내당동
1033,검단동,인천 서구 검단동
1169,신암1동,대구 동구 신암1동
1175,하빈면,대구 달성군 하빈면
1190,침산2동,대구 북구 침산2동
1258,구지면,대구 달성군 구지면
1508,만촌3동,대구 수성구 만촌3동
1833,수성1가동,대구 수성구 수성1가동
2128,이방리,경남 창녕군 대합면 이방리
3368,대견리,경남 창녕군 성산면 대견리
37272,목단리,경남 창녕군 대합면 목단리
60998,서부1동,경북 경산시 서부1동
86764,곽촌리,경북 고령군 다산면 곽촌리
89141,서부2동,경북 경산시 서부2동
101367,부적리,경북 경산시 압량읍 부적리
126947,기성리,경북 울진군 기성면 기성리
128650,송곡리,경기 이천시 모가면 송곡리
137426,용산리,경기 파주시 진동면 용산리
175564,장천리,경기 이천시 설성면 장천리
190506,유천동,경기 평택시 유천동
346320,장유2동,경남 김해시 장유2동
503108,음양리,경기 화성시 정남면 음양리
869548,낙산리,경북 구미시 해평면 낙산리
909142,연호리,전남 해남군 황산면 연호리
1115409,거남리,경남 창녕군 이방면 거남리
1233755,정녕리,경남 창녕군 성산면 정녕리
1266966,금곡리,경기 남양주시 진접읍 금곡리
1298635,학명리,전남 강진군 강진읍 학명리
1388765,문수리,전남 구례군 토지면 문수리
1464572,팔조리,경북 경주시 감포읍 팔조리
