,출발지 행정동
6104, 당산로 
6138, 비산6동
6186, 영송로 
6265, 두류동(두류3동)
6272, 장전4길 
6284, 고성동2가 
6332, 덕산동 
6363, 이현동
6369, 남산동(남산4동)
6427, 노원1.2동
6428, 매천동
6669, 양지로 
6701, 남성로 
7801, 대봉동(대봉2동)
7841, 남산동(남산3동)
7861, 태전동(태전2동)
7895, 다사읍 문양리
7957, 동성로2가
8006, 유가읍 봉리
8044, 삼덕동3가
8149, 내당동(내당4동)
8158, 이현동 
8188, 대명로30길 
8222, 태전로15길 
8237, 중앙대로41길 
8328, 도동 
8352, 비산5동
8397, 인교동
8408, 범어2동
8416, 범어동(범어2동)
8442, 대구1호선 
8447, 율하동로27길 
8541, 용산동(용산1동)
8547, 노원동1가 
8564, 칠곡1동
8584, 와룡로49길 
8622, 동인동4가 
8743, 고산1동
8796, 장관동 
8856, 서문로1가 
8961, 문화동 
9001, 침산동(침산1동)
9008, 용덕동
9030, 청수로 
9059, 논공읍 금포리
9068, 다사읍 서재리
9091, 봉덕2동
9111, 상인2동 
9125, 대봉로 
9127, 동대구로12길 
9130, 능성동
9177, 성서공단북로 
9201, 팔공로 
9230, 종로2가
9283, 지산동(지산1동)
9322, 호암로 
9332, 칠곡중앙대로115길 
9341, 송정동 
9368, 논공읍 하리
9379, 청호로 
9425, 신무동
9449, 범어1동
9456, 달구벌대로 
9645, 원대동2가
9662, 경안로 
9698, 산격3동
9704, 큰골길 
9707, 하빈면 
9731, 칠성동1가 
9820, 노원동2가 
9832, 북비산로63길 
9833, 고성동1가
9897, 달서구 감삼동 
9914, 모산골길 
9964, 화원읍 본리리
10001, 신천4동 
10048, 30-2 
10055, 명덕로 
10093, 팔공로28길 
10187, 지산2동
10215, 대명6동 
10230, 현풍면 중리
10348, 장기로 
10626, 옥포읍 교항리
10640, 평리5동
10643, 국채보상로78길 
10701, 파호동 
10722, 칠곡중앙대로105길 
10732, 사일동 
11571, 동성로3가 
11828, 대림동 
11839, 범어4동
11873, 신암동(신암3동)
11910, 문화회관3길 
11949, 만촌동(만촌2동)
11961, 만촌3동
11968, 월곡로53길 
11972, 대명로54길 
12006, 대명동(대명5동)
12011, 파계로 
12019, 황금동(황금2동)
12134, 중대동 
12248, 하빈면 하산리
12329, 동문동 
12372, 미곡동
12378, 하빈면 기곡리
12402, 종로2가 
12481, 연호동
12525, 입석로 
12532, 부동 
12553, 현풍읍 하리
12594, 황금2동
12600, 현풍면 부리
12659, 용학로 
12713, 무태조야동
12757, 대명6동
12760, 신암4동 
12806, 화랑로69길 
12830, 하빈면 묘리
12862, 들안로 
12902, 고모동
12905, 대현로 
13009, 만촌동(만촌3동)
13018, 서내동 
13090, 장동
13103, 중대동
13106, 산격2동
13140, 원대동1가(원대동)
13364, 불로동 
13368, 범어동(범어3동)
13477, 태평로
13493, 효동로2길 
13517, 침산로
13531, 시장북로 
13683, 새방로27길 
13722, 칠성동2가(칠성동)
13777, 교동 
13858, 서대구로29길 
13964, 학산로7길 
13971, 경대로7길 
14143, 약령길 
14145, 현충로25길 
14155, 동인3가동
14365, 숙천동(안심3.4동)
14381, 중리동(상중이동)
15424, 내곡동
15541, 국채보상로180길 
15640, 43 
15676, 장관동
15719, 이천로31길 
15897, 침산동(침산2동)
16079, 논공읍 삼리리
16220, 대안동 
16284, 두류1동
16313, 율암동 
16328, 야외음악당로47안길 
16409, 삼정길 
16458, 서문로2가 
16672, 다사읍 박곡리
16712, 현풍읍 중리
16713, 옥포면 
16729, 중흥로8길 
17275, 동내동
17298, 지산로3길 
17323, 산격로 
17436, 들안로32길 
17570, 현풍면 원교리
17586, 양지로8길 
17596, 현충로 
17618, 칠곡2동
17685, 비산동(비산2.3동)
19210, 검사동 
19347, 삼덕동1가 
19433, 명륜로22길 
19534, 고모동 
19605, 두류1.2동
19613, 명륜로21길 
19867, 지묘동(공산동)
20173, 상인3동 
20239, 하빈면 동곡리
20270, 원대동3가 
20308, 산격3동 
20406, 대구칠곡3지구 
20560, 동대구로73길 
20944, 북성로4길 
20947, 성내3동
21384, 도촌길 
21406, 현풍면 
21947, 송현2동 
23131, 관음동로32길 
23198, 현풍읍 성하리
23356, 달구벌대로283길 
23408, 와룡로13길 
23477, 하빈면 현내리
23514, 아양로15길 
23638, 문화로 
23788, 범안로 
23909, 대안동(성내2동)
23937, 둔산로51길 
24056, 효목로 
24181, 조암로 
24336, 전동
24732, 만촌로26길 
24969, 진천로10길 
24980, 성당로39길 
25048, 도학동
25319, 대명10동 
25415, 아양로 
25636, 대천동(월성2동)
27183, 들안로14길 
27360, 대명로52길 
27363, 동덕로36길 
27596, 가창면 냉천리
27664, 도평동
27779, 칠곡중앙대로 
28222, 연호동 
28249, 다사읍 죽곡리
28410, 현풍읍 원교리
29097, 대봉동(대봉1동)
29529, 북성로2가
29553, 대학로 
29589, 54 
30981, 중앙대로61길 
31188, 고산2동
31574, 수동 
31730, 서당로 
31785, 상인동(상인3동)
31813, 평리1동 
31829, 범어로16길 
31878, 장기동(용산1동)
32002, 북비산로37길 
32065, 침산1동 
32084, 월촌역지점 
32688, 대경길 
32926, 공평로 
33350, 통학로46길 
33433, 국채보상로60길 
34503, 대현로19길 
34521, 구암서로 
34573, 봉덕동(봉덕2동)
34584, 팔달북로11길 
34738, 비산7동 
34894, 대륙1길 
35232, 대곡동(진천동)
35392, 달서로25길 
35494, 서호동 
35496, 국채보상로143길 
35497, 율암동(안심2동)
35619, 안심2동
35624, 화랑로37길 
35662, 송정동
35794, 중구 동인동2가 
35887, 와룡로 
35907, 계산동1가
36036, 동인동4가(동인동)
36040, 하서동 
36048, 606-2 
36120, 수성로15길 
36136, 서문로2가
36180, 월배로11길 
36250, 매천로 
